symbol,roe,opm,pb,de_ratio,fcf,eps_growth,revenue_growth,50_MA,200_MA,Price_Momentum_30,Volatility,RSI,is_undervalued
TCS.NS,52.164,24.200001,13.058669,9.807,32785.5013888,-1.7000000000000002,5.3,3446.402587890625,3800.2007019042967,-1.8324583112983461,37.50287990325011,38.28483920367535,1
INFY.NS,28.93,20.031999,606.3979,8.547,359.7687552,-15.2,3.5999999999999996,1563.1908959960938,1725.4316802978515,6.32571108795188,31.276614835767564,54.944386190975514,0
ITC.NS,27.582002,32.551998,7.374779,0.404,13120.8790016,285.3,4.7,420.57292907714844,435.58209930419923,-3.7012896257636263,4.8670701674943935,38.49281624555289,1
ASIANPAINT.NS,18.792,13.527000000000001,12.004945,11.418,2076.1012224,-44.9,-3.3000000000000003,2303.6224072265627,2451.354669189453,5.660380370103635,63.71642372105416,80.1007533974983,1
RELIANCE.NS,8.402,11.612,2.45262,36.605,-4657.625088,2.4,10.5,1437.4800122070312,1324.4466271972656,7.043733989394219,37.468116147558064,73.99463806970509,0
MARUTI.NS,15.945,8.2650006,4.1315293,0.09,1499.8875136,-1.0,6.4,12488.7,11998.718232421876,1.5498273508391502,196.2447715095584,53.99449035812672,0
BAJFINANCE.NS,19.108,58.809999999999995,5.945349,292.998,0.0,17.1,14.000000000000002,913.6622448730469,800.0667864990235,0.583619418356407,17.1069209482235,45.629727022026,0
LT.NS,15.781999999999998,10.947999999999999,5.0625033,114.735,9840.4810752,25.0,10.9,3550.2143798828124,3485.4282092285157,0.784040350081483,31.394771598841785,45.38567916309046,1
DMART.NS,13.495,4.802,12.936184,3.825,-1652.2349568,-2.1999999999999997,16.900000000000002,4155.363989257812,4003.003994140625,2.9052429154523995,129.27245203384467,60.396539045374155,0
